"No.","Time","Source","Destination","Protocol","Length","Info"
"86","1.935586","192.168.1.102","128.119.245.12","TCP","946","1161 > 80 [PSH, ACK] Seq=65465 Ack=1 Win=17520 Len=892"
"87","2.029069","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=61085 Win=62780 Len=0"
"88","2.126682","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=64005 Win=62780 Len=0"
"89","2.203195","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=66357 Win=62780 Len=0"
"90","2.203411","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=66357 Ack=1 Win=17520 Len=1460"
"91","2.204125","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=67817 Ack=1 Win=17520 Len=1460"
"92","2.204962","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=69277 Ack=1 Win=17520 Len=1460"
"93","2.205836","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=70737 Ack=1 Win=17520 Len=1460"
"94","2.206824","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=72197 Ack=1 Win=17520 Len=1460"
"95","2.207746","192.168.1.102","128.119.245.12","TCP","946","1161 > 80 [PSH, ACK] Seq=73657 Ack=1 Win=17520 Len=892"
"96","2.311413","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=69277 Win=62780 Len=0"
"97","2.404228","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=72197 Win=62780 Len=0"
"98","2.476576","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=74549 Win=62780 Len=0"
"99","2.476801","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=74549 Ack=1 Win=17520 Len=1460"
"100","2.477515","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=76009 Ack=1 Win=17520 Len=1460"
"101","2.478415","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=77469 Ack=1 Win=17520 Len=1460"
"102","2.479341","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=78929 Ack=1 Win=17520 Len=1460"
"103","2.480356","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=80389 Ack=1 Win=17520 Len=1460"
"104","2.481218","192.168.1.102","128.119.245.12","TCP","946","1161 > 80 [PSH, ACK] Seq=81849 Ack=1 Win=17520 Len=892"
"105","2.576633","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=77469 Win=62780 Len=0"
"106","2.672045","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=80389 Win=62780 Len=0"
"107","2.747257","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=82741 Win=62780 Len=0"
"108","2.747468","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=82741 Ack=1 Win=17520 Len=1460"
"109","2.748321","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=84201 Ack=1 Win=17520 Len=1460"
"110","2.749246","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=85661 Ack=1 Win=17520 Len=1460"
"111","2.750126","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=87121 Ack=1 Win=17520 Len=1460"
"112","2.751237","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=88581 Ack=1 Win=17520 Len=1460"
"113","2.752049","192.168.1.102","128.119.245.12","TCP","946","1161 > 80 [PSH, ACK] Seq=90041 Ack=1 Win=17520 Len=892"
"114","2.847009","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=85661 Win=62780 Len=0"
"115","2.944420","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=88581 Win=62780 Len=0"
"116","3.020822","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=90933 Win=62780 Len=0"
"117","3.021036","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=90933 Ack=1 Win=17520 Len=1460"
"118","3.021748","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=92393 Ack=1 Win=17520 Len=1460"
"119","3.022626","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=93853 Ack=1 Win=17520 Len=1460"
"120","3.023492","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=95313 Ack=1 Win=17520 Len=1460"
"121","3.024734","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=96773 Ack=1 Win=17520 Len=1460"
"122","3.025618","192.168.1.102","128.119.245.12","TCP","946","1161 > 80 [PSH, ACK] Seq=98233 Ack=1 Win=17520 Len=892"
"123","3.117302","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=93853 Win=62780 Len=0"
"124","3.216127","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=96773 Win=62780 Len=0"
"125","3.291672","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=99125 Win=62780 Len=0"
"126","3.291881","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=99125 Ack=1 Win=17520 Len=1460"
"127","3.292657","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=100585 Ack=1 Win=17520 Len=1460"
"128","3.293613","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=102045 Ack=1 Win=17520 Len=1460"
"129","3.294487","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=103505 Ack=1 Win=17520 Len=1460"
"130","3.295806","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=104965 Ack=1 Win=17520 Len=1460"
"131","3.296698","192.168.1.102","128.119.245.12","TCP","946","1161 > 80 [PSH, ACK] Seq=106425 Ack=1 Win=17520 Len=892"
"132","3.388926","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=102045 Win=62780 Len=0"
"133","3.485275","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=104965 Win=62780 Len=0"
"134","3.562531","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=107317 Win=62780 Len=0"
"135","3.562737","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=107317 Ack=1 Win=17520 Len=1460"
"136","3.563561","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=108777 Ack=1 Win=17520 Len=1460"
"137","3.564458","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=110237 Ack=1 Win=17520 Len=1460"
"138","3.565426","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=111697 Ack=1 Win=17520 Len=1460"
